,batch_size,max_epochs,learning_rate,memory_size,model
0,152,3,0.01,12000,lenet5.py
1,152,3,0.01,12000,bi-rnn.py
2,184,4,0.07,12000,lenet5.py
3,184,4,0.07,12000,bi-rnn.py
4,112,17,0.005,12000,lenet5.py
5,112,17,0.005,12000,bi-rnn.py
6,168,7,0.15,12000,lenet5.py
7,168,7,0.15,12000,bi-rnn.py
8,88,10,0.01,12000,lenet5.py
9,88,10,0.01,12000,bi-rnn.py
10,152,15,0.08,12000,lenet5.py
11,152,15,0.08,12000,bi-rnn.py
12,128,10,0.005,12000,lenet5.py
13,128,10,0.005,12000,bi-rnn.py
14,160,12,0.0025,12000,lenet5.py
15,160,12,0.0025,12000,bi-rnn.py
16,224,20,0.01,12000,lenet5.py
17,224,20,0.01,12000,bi-rnn.py
18,280,7,0.015,12000,lenet5.py
19,280,7,0.015,12000,bi-rnn.py
20,512,25,0.005,12000,lenet5.py
21,512,25,0.005,12000,bi-rnn.py
22,256,6,0.005,12000,lenet5.py
23,256,6,0.005,12000,bi-rnn.py
24,128,27,0.02,12000,lenet5.py
25,128,27,0.02,12000,bi-rnn.py
26,192,18,0.01,12000,lenet5.py
27,192,18,0.01,12000,bi-rnn.py
28,256,12,0.015,12000,lenet5.py
29,256,12,0.015,12000,bi-rnn.py