Index,setup,batch_size,max_epochs,learning_rate,memory_size,model,accuracy,training_time
362,hybrid,256,5,0.01,12000,lenet5.py,0.8899,83150.166013
363,hybrid,256,5,0.01,12000,bi-rnn.py,0.1958,151622.930755
364,hybrid,256,5,0.005,6000,lenet5.py,0.8186,82319.109531
365,hybrid,256,5,0.005,6000,bi-rnn.py,0.1375,152768.68228
366,hybrid,256,5,0.005,12000,lenet5.py,0.8155,82179.290453
367,hybrid,256,5,0.005,12000,bi-rnn.py,0.1599,152748.904909
368,hybrid,256,10,0.01,6000,lenet5.py,0.9217,152456.630868
369,hybrid,256,10,0.01,6000,bi-rnn.py,0.3409,283052.266193
370,hybrid,256,10,0.01,12000,lenet5.py,0.9237,150515.438115
371,hybrid,256,10,0.01,12000,bi-rnn.py,0.3392,289038.523363
372,hybrid,256,10,0.005,6000,lenet5.py,0.884,149152.55579
373,hybrid,256,10,0.005,6000,bi-rnn.py,0.1801,289621.619675
374,hybrid,256,10,0.005,12000,lenet5.py,0.8938,150992.449048
375,hybrid,256,10,0.005,12000,bi-rnn.py,0.1924,303949.205908
376,hybrid,256,20,0.01,6000,lenet5.py,0.9446,313319.584209
377,hybrid,256,20,0.01,6000,bi-rnn.py,0.488,645913.722034
378,hybrid,256,20,0.01,12000,lenet5.py,0.9489,308902.553669
379,hybrid,256,20,0.01,12000,bi-rnn.py,0.4809,652984.278265
380,hybrid,256,20,0.005,6000,lenet5.py,0.9179,311193.734488
381,hybrid,256,20,0.005,6000,bi-rnn.py,0.2593,641691.619553
382,hybrid,256,20,0.005,12000,lenet5.py,0.9226,311504.259461
383,hybrid,256,20,0.005,12000,bi-rnn.py,0.2668,630730.716829
384,hybrid,128,5,0.01,6000,lenet5.py,0.9123,147538.551324
385,hybrid,128,5,0.01,6000,bi-rnn.py,0.3589,230443.999186
386,hybrid,128,5,0.01,12000,lenet5.py,0.9296,139852.217945
387,hybrid,128,5,0.01,12000,bi-rnn.py,0.3511,216585.582866
388,hybrid,128,5,0.005,6000,lenet5.py,0.8852,138458.239866
389,hybrid,128,5,0.005,6000,bi-rnn.py,0.1839,226975.169153
390,hybrid,128,5,0.005,12000,lenet5.py,0.8771,143867.023955
391,hybrid,128,5,0.005,12000,bi-rnn.py,0.1789,222782.785705
392,hybrid,128,10,0.01,6000,lenet5.py,0.9432,251780.86307
393,hybrid,128,10,0.01,6000,bi-rnn.py,0.4859,420675.43489
394,hybrid,128,10,0.01,12000,lenet5.py,0.948,254697.812808
395,hybrid,128,10,0.01,12000,bi-rnn.py,0.4997,417931.704108
396,hybrid,128,10,0.005,6000,lenet5.py,0.913,265058.548448
397,hybrid,128,10,0.005,6000,bi-rnn.py,0.3131,418481.023939
398,hybrid,128,10,0.005,12000,lenet5.py,0.912,252301.112098
399,hybrid,128,10,0.005,12000,bi-rnn.py,0.2863,419595.767012
400,hybrid,128,20,0.01,6000,lenet5.py,0.9628,519791.299802
401,hybrid,128,20,0.01,6000,bi-rnn.py,0.697,945616.392426
402,hybrid,128,20,0.01,12000,lenet5.py,0.963,513334.652078
403,hybrid,128,20,0.01,12000,bi-rnn.py,0.7523,953324.92535
404,hybrid,128,20,0.005,6000,lenet5.py,0.9436,517047.013435
405,hybrid,128,20,0.005,6000,bi-rnn.py,0.4034,944101.946336
406,hybrid,128,20,0.005,12000,lenet5.py,0.9337,506738.937915
407,hybrid,128,20,0.005,12000,bi-rnn.py,0.4282,953177.050685
408,hybrid,256,5,0.01,6000,lenet5.py,0.8961,81691.746814
409,hybrid,256,5,0.01,6000,bi-rnn.py,0.1965,151048.688591
410,hybrid,256,5,0.01,12000,lenet5.py,0.8958,82470.237663
411,hybrid,256,5,0.01,12000,bi-rnn.py,0.1859,150407.000116
412,hybrid,256,5,0.005,6000,lenet5.py,0.8076,81564.603946
413,hybrid,256,5,0.005,6000,bi-rnn.py,0.1522,152416.530668
414,hybrid,256,5,0.005,12000,lenet5.py,0.8319,82112.965105
415,hybrid,256,5,0.005,12000,bi-rnn.py,0.1679,149187.376
416,hybrid,256,10,0.01,6000,lenet5.py,0.9227,148443.527795
417,hybrid,256,10,0.01,6000,bi-rnn.py,0.353,289263.562455
418,hybrid,256,10,0.01,12000,lenet5.py,0.9203,147544.645197
419,hybrid,256,10,0.01,12000,bi-rnn.py,0.388,290934.784873
420,hybrid,256,10,0.005,6000,lenet5.py,0.8736,149030.22847
421,hybrid,256,10,0.005,6000,bi-rnn.py,0.185,288999.312056
422,hybrid,256,10,0.005,12000,lenet5.py,0.8852,148623.444611
423,hybrid,256,10,0.005,12000,bi-rnn.py,0.1716,286541.169042
424,hybrid,256,20,0.01,6000,lenet5.py,0.944,309126.904734
425,hybrid,256,20,0.01,6000,bi-rnn.py,0.5009,653736.655738
426,hybrid,256,20,0.01,12000,lenet5.py,0.9441,309358.488062
427,hybrid,256,20,0.01,12000,bi-rnn.py,0.4881,646613.438188
428,hybrid,256,20,0.005,6000,lenet5.py,0.9167,311362.603744
429,hybrid,256,20,0.005,6000,bi-rnn.py,0.2866,661572.980212
430,hybrid,256,20,0.005,12000,lenet5.py,0.9176,318212.902786
431,hybrid,256,20,0.005,12000,bi-rnn.py,0.3414,667126.748593
432,hybrid,128,5,0.01,6000,lenet5.py,0.9199,136211.882305
433,hybrid,128,5,0.01,6000,bi-rnn.py,0.3517,217086.359625
434,hybrid,128,5,0.01,12000,lenet5.py,0.9211,137843.199998
435,hybrid,128,5,0.01,12000,bi-rnn.py,0.3425,217836.898047
436,hybrid,128,5,0.005,6000,lenet5.py,0.885,137247.474306
437,hybrid,128,5,0.005,6000,bi-rnn.py,0.2022,217533.393324
438,hybrid,128,5,0.005,12000,lenet5.py,0.8886,139577.051733
439,hybrid,128,5,0.005,12000,bi-rnn.py,0.1974,219404.160281
440,hybrid,128,10,0.01,6000,lenet5.py,0.9417,251622.390767
441,hybrid,128,10,0.01,6000,bi-rnn.py,0.4973,418512.391518
442,hybrid,128,10,0.01,12000,lenet5.py,0.9433,252483.848569
443,hybrid,128,10,0.01,12000,bi-rnn.py,0.463,412761.69934
444,hybrid,128,10,0.005,6000,lenet5.py,0.9143,251695.59502
445,hybrid,128,10,0.005,6000,bi-rnn.py,0.3271,415912.030134
446,hybrid,128,10,0.005,12000,lenet5.py,0.9161,250072.904659
447,hybrid,128,10,0.005,12000,bi-rnn.py,0.2647,413056.656772
448,hybrid,128,20,0.01,6000,lenet5.py,0.9587,520363.051399
449,hybrid,128,20,0.01,6000,bi-rnn.py,0.6795,950852.189326
450,hybrid,128,20,0.01,12000,lenet5.py,0.9626,510177.213258
451,hybrid,128,20,0.01,12000,bi-rnn.py,0.6994,962505.194627
452,hybrid,128,20,0.005,6000,lenet5.py,0.9413,529066.111277
453,hybrid,128,20,0.005,6000,bi-rnn.py,0.4307,956803.385387
454,hybrid,128,20,0.005,12000,lenet5.py,0.9408,539148.825948
455,hybrid,128,20,0.005,12000,bi-rnn.py,0.4342,952483.282673
456,hybrid,256,5,0.01,6000,lenet5.py,0.8869,82010.177783
457,hybrid,256,5,0.01,6000,bi-rnn.py,0.1965,149899.90636
458,hybrid,256,5,0.01,12000,lenet5.py,0.8969,82429.733349
459,hybrid,256,5,0.01,12000,bi-rnn.py,0.2015,148006.283159
460,hybrid,256,5,0.005,6000,lenet5.py,0.8128,82207.48652
461,hybrid,256,5,0.005,6000,bi-rnn.py,0.1463,157350.209544
462,hybrid,256,5,0.005,12000,lenet5.py,0.8169,82426.844731
463,hybrid,256,5,0.005,12000,bi-rnn.py,0.1502,149586.060503
464,hybrid,256,10,0.01,6000,lenet5.py,0.9242,150986.852559
465,hybrid,256,10,0.01,6000,bi-rnn.py,0.2625,283497.236796
466,hybrid,256,10,0.01,12000,lenet5.py,0.9243,148782.970754
467,hybrid,256,10,0.01,12000,bi-rnn.py,0.2735,286338.802024
468,hybrid,256,10,0.005,6000,lenet5.py,0.8706,151188.51759
469,hybrid,256,10,0.005,6000,bi-rnn.py,0.184,287368.552453
470,hybrid,256,10,0.005,12000,lenet5.py,0.8874,150406.862821
471,hybrid,256,10,0.005,12000,bi-rnn.py,0.1841,286225.525383
472,hybrid,256,20,0.01,6000,lenet5.py,0.9415,314143.387514
473,hybrid,256,20,0.01,6000,bi-rnn.py,0.5028,652422.342086
474,hybrid,256,20,0.01,12000,lenet5.py,0.9501,315018.558703
475,hybrid,256,20,0.01,12000,bi-rnn.py,0.4895,630973.668466
476,hybrid,256,20,0.005,6000,lenet5.py,0.9062,298893.197918
477,hybrid,256,20,0.005,6000,bi-rnn.py,0.3027,636690.772521
478,hybrid,256,20,0.005,12000,lenet5.py,0.9124,300451.438065
479,hybrid,256,20,0.005,12000,bi-rnn.py,0.2286,623511.171996
480,optimized,128,5,0.01,6000,lenet5.py,0.9157,143871.390279
481,optimized,128,5,0.01,6000,bi-rnn.py,0.3753,225066.661048
482,optimized,128,5,0.01,12000,lenet5.py,0.9152,144713.641601
483,optimized,128,5,0.01,12000,bi-rnn.py,0.3191,224119.498511
484,optimized,128,5,0.005,6000,lenet5.py,0.8732,146621.642648
485,optimized,128,5,0.005,6000,bi-rnn.py,0.1956,226469.471792
486,optimized,128,5,0.005,12000,lenet5.py,0.885,146783.430098
487,optimized,128,5,0.005,12000,bi-rnn.py,0.1992,225107.703428
488,optimized,128,10,0.01,6000,lenet5.py,0.9444,262811.366855
489,optimized,128,10,0.01,6000,bi-rnn.py,0.4829,425499.242057
490,optimized,128,10,0.01,12000,lenet5.py,0.9442,263389.130767
491,optimized,128,10,0.01,12000,bi-rnn.py,0.5069,426779.75145
492,optimized,128,10,0.005,6000,lenet5.py,0.9282,260138.830248
493,optimized,128,10,0.005,6000,bi-rnn.py,0.3182,435454.864589
494,optimized,128,10,0.005,12000,lenet5.py,0.9057,266356.868089
495,optimized,128,10,0.005,12000,bi-rnn.py,0.2678,436105.032076
496,optimized,128,20,0.01,6000,lenet5.py,0.9599,407242.170858
497,optimized,128,20,0.01,6000,bi-rnn.py,0.7357,828139.200586
498,optimized,128,20,0.01,12000,lenet5.py,0.9613,494405.21415
499,optimized,128,20,0.01,12000,bi-rnn.py,0.689,823790.130177
500,optimized,128,20,0.005,6000,lenet5.py,0.9394,476815.631274
501,optimized,128,20,0.005,6000,bi-rnn.py,0.4173,831450.568865
502,optimized,128,20,0.005,12000,lenet5.py,0.9409,485657.212943
503,optimized,128,20,0.005,12000,bi-rnn.py,0.3869,812324.484167
504,optimized,256,5,0.01,6000,lenet5.py,0.8855,85887.437643
505,optimized,256,5,0.01,6000,bi-rnn.py,0.1917,153684.795243
506,optimized,256,5,0.01,12000,lenet5.py,0.8858,86119.388989
507,optimized,256,5,0.01,12000,bi-rnn.py,0.1902,157469.406821
508,optimized,256,5,0.005,6000,lenet5.py,0.8129,86038.768986
509,optimized,256,5,0.005,6000,bi-rnn.py,0.1626,154379.717394
510,optimized,256,5,0.005,12000,lenet5.py,0.8373,85578.342563
511,optimized,256,5,0.005,12000,bi-rnn.py,0.1569,153022.404338
512,optimized,256,10,0.01,6000,lenet5.py,0.9216,157417.656682
513,optimized,256,10,0.01,6000,bi-rnn.py,0.3559,292847.431832
514,optimized,256,10,0.01,12000,lenet5.py,0.9241,154780.288856
515,optimized,256,10,0.01,12000,bi-rnn.py,0.2842,287714.261184
516,optimized,256,10,0.005,6000,lenet5.py,0.8676,152936.709457
517,optimized,256,10,0.005,6000,bi-rnn.py,0.168,292447.920029
518,optimized,256,10,0.005,12000,lenet5.py,0.8843,151137.800889
519,optimized,256,10,0.005,12000,bi-rnn.py,0.1848,290996.37239
520,optimized,256,20,0.01,6000,lenet5.py,0.9389,289786.395941
521,optimized,256,20,0.01,6000,bi-rnn.py,0.4635,566963.570413
522,optimized,256,20,0.01,12000,lenet5.py,0.9389,285133.600032
523,optimized,256,20,0.01,12000,bi-rnn.py,0.5279,569382.454304
524,optimized,256,20,0.005,6000,lenet5.py,0.9154,292263.096327
525,optimized,256,20,0.005,6000,bi-rnn.py,0.2869,560322.83234
526,optimized,256,20,0.005,12000,lenet5.py,0.9171,282961.100944
527,optimized,256,20,0.005,12000,bi-rnn.py,0.3036,557750.810094
528,optimized,128,5,0.01,6000,lenet5.py,0.9345,141124.67699
529,optimized,128,5,0.01,6000,bi-rnn.py,0.3785,220897.094862
530,optimized,128,5,0.01,12000,lenet5.py,0.9205,142529.894183
531,optimized,128,5,0.01,12000,bi-rnn.py,0.401,225966.728874
532,optimized,128,5,0.005,6000,lenet5.py,0.8728,144439.081966
533,optimized,128,5,0.005,6000,bi-rnn.py,0.1839,222983.631211
534,optimized,128,5,0.005,12000,lenet5.py,0.8909,141116.470634
535,optimized,128,5,0.005,12000,bi-rnn.py,0.1857,221513.035084
536,optimized,128,10,0.01,6000,lenet5.py,0.9452,258268.060294
537,optimized,128,10,0.01,6000,bi-rnn.py,0.4552,427025.40947
538,optimized,128,10,0.01,12000,lenet5.py,0.9482,255906.28868
539,optimized,128,10,0.01,12000,bi-rnn.py,0.4818,427216.739886
540,optimized,128,10,0.005,6000,lenet5.py,0.9223,255857.110714
541,optimized,128,10,0.005,6000,bi-rnn.py,0.3037,423782.351094
542,optimized,128,10,0.005,12000,lenet5.py,0.9155,260241.57433
543,optimized,128,10,0.005,12000,bi-rnn.py,0.3627,421933.643816
544,optimized,128,20,0.01,6000,lenet5.py,0.9616,477720.367025
545,optimized,128,20,0.01,6000,bi-rnn.py,0.7856,812972.849134
546,optimized,128,20,0.01,12000,lenet5.py,0.9575,481065.31115
547,optimized,128,20,0.01,12000,bi-rnn.py,0.7436,813657.084025
548,optimized,128,20,0.005,6000,lenet5.py,0.936,475849.770304
549,optimized,128,20,0.005,6000,bi-rnn.py,0.4383,822407.081269
550,optimized,128,20,0.005,12000,lenet5.py,0.9408,470122.511627
551,optimized,128,20,0.005,12000,bi-rnn.py,0.4464,826665.844065
552,optimized,256,5,0.01,6000,lenet5.py,0.8875,84593.809303
553,optimized,256,5,0.01,6000,bi-rnn.py,0.1887,155659.722693
554,optimized,256,5,0.01,12000,lenet5.py,0.8992,84141.395973
555,optimized,256,5,0.01,12000,bi-rnn.py,0.206,154095.048269
556,optimized,256,5,0.005,6000,lenet5.py,0.8255,84383.934701
557,optimized,256,5,0.005,6000,bi-rnn.py,0.1708,155557.225944
558,optimized,256,5,0.005,12000,lenet5.py,0.8011,84400.94269
559,optimized,256,5,0.005,12000,bi-rnn.py,0.1625,156651.823176
560,optimized,256,10,0.01,6000,lenet5.py,0.9169,153606.634091
561,optimized,256,10,0.01,6000,bi-rnn.py,0.3393,292753.345974
562,optimized,256,10,0.01,12000,lenet5.py,0.9232,153100.292101
563,optimized,256,10,0.01,12000,bi-rnn.py,0.331,292127.171317
564,optimized,256,10,0.005,6000,lenet5.py,0.8813,153219.898737
565,optimized,256,10,0.005,6000,bi-rnn.py,0.1865,291203.546653
566,optimized,256,10,0.005,12000,lenet5.py,0.8869,153864.779456
567,optimized,256,10,0.005,12000,bi-rnn.py,0.1825,300623.528038
568,optimized,256,20,0.01,6000,lenet5.py,0.9429,276769.867332
569,optimized,256,20,0.01,6000,bi-rnn.py,0.5255,557975.168008
570,optimized,256,20,0.01,12000,lenet5.py,0.9442,278018.409142
571,optimized,256,20,0.01,12000,bi-rnn.py,0.4855,562326.263719
572,optimized,256,20,0.005,6000,lenet5.py,0.9162,272107.747475
573,optimized,256,20,0.005,6000,bi-rnn.py,0.251,558221.83846
574,optimized,256,20,0.005,12000,lenet5.py,0.9109,271447.620734
575,optimized,256,20,0.005,12000,bi-rnn.py,0.2877,556162.5375
576,optimized,128,5,0.01,6000,lenet5.py,0.9283,142029.41378
577,optimized,128,5,0.01,6000,bi-rnn.py,0.3576,231495.366654
578,optimized,128,5,0.01,12000,lenet5.py,0.9203,141559.086444
579,optimized,128,5,0.01,12000,bi-rnn.py,0.3258,226933.490409
580,optimized,128,5,0.005,6000,lenet5.py,0.8855,143999.510656
581,optimized,128,5,0.005,6000,bi-rnn.py,0.1977,222756.114606
582,optimized,128,5,0.005,12000,lenet5.py,0.8821,143037.230214
583,optimized,128,5,0.005,12000,bi-rnn.py,0.1877,220358.311193
584,optimized,128,10,0.01,6000,lenet5.py,0.95,256066.446307
585,optimized,128,10,0.01,6000,bi-rnn.py,0.4954,423233.328301
586,optimized,128,10,0.01,12000,lenet5.py,0.94,261159.88007
587,optimized,128,10,0.01,12000,bi-rnn.py,0.5053,423267.901868
588,optimized,128,10,0.005,6000,lenet5.py,0.9175,265174.25678
589,optimized,128,10,0.005,6000,bi-rnn.py,0.2627,424299.885798
590,optimized,128,10,0.005,12000,lenet5.py,0.9097,257648.15802
591,optimized,128,10,0.005,12000,bi-rnn.py,0.2938,422633.90871
592,optimized,128,20,0.01,6000,lenet5.py,0.9633,453298.796888
593,optimized,128,20,0.01,6000,bi-rnn.py,0.7325,798472.625787
594,optimized,128,20,0.01,12000,lenet5.py,0.9615,466404.671433
595,optimized,128,20,0.01,12000,bi-rnn.py,0.7356,823172.303499
596,optimized,128,20,0.005,6000,lenet5.py,0.9351,466167.074481
597,optimized,128,20,0.005,6000,bi-rnn.py,0.4258,820716.657728
598,optimized,128,20,0.005,12000,lenet5.py,0.9386,457936.53489
599,optimized,128,20,0.005,12000,bi-rnn.py,0.4094,812646.713724
600,optimized,256,5,0.01,6000,lenet5.py,0.9049,84795.383686
601,optimized,256,5,0.01,6000,bi-rnn.py,0.1995,152012.887092
602,optimized,256,5,0.01,12000,lenet5.py,0.8896,101861.043874
603,optimized,256,5,0.01,12000,bi-rnn.py,0.2021,154317.075692
604,optimized,256,5,0.005,6000,lenet5.py,0.8196,84064.500753
605,optimized,256,5,0.005,6000,bi-rnn.py,0.1396,152162.935143
606,optimized,256,5,0.005,12000,lenet5.py,0.8369,84527.781563
607,optimized,256,5,0.005,12000,bi-rnn.py,0.1705,152587.181374
608,optimized,256,10,0.01,6000,lenet5.py,0.928,154270.139551
609,optimized,256,10,0.01,6000,bi-rnn.py,0.3448,295680.863502
610,optimized,256,10,0.01,12000,lenet5.py,0.9255,154725.735238
611,optimized,256,10,0.01,12000,bi-rnn.py,0.3347,294839.774334
612,optimized,256,10,0.005,6000,lenet5.py,0.8889,157371.721293
613,optimized,256,10,0.005,6000,bi-rnn.py,0.1708,295901.049349
614,optimized,256,10,0.005,12000,lenet5.py,0.8947,156395.866144
615,optimized,256,10,0.005,12000,bi-rnn.py,0.1677,292768.378712
616,optimized,256,20,0.01,6000,lenet5.py,0.9481,268415.598627
617,optimized,256,20,0.01,6000,bi-rnn.py,0.474,560820.677234
618,optimized,256,20,0.01,12000,lenet5.py,0.9435,273246.282625
619,optimized,256,20,0.01,12000,bi-rnn.py,0.4681,563476.232264
620,optimized,256,20,0.005,6000,lenet5.py,0.9232,271594.2014
621,optimized,256,20,0.005,6000,bi-rnn.py,0.218,571059.773822
622,optimized,256,20,0.005,12000,lenet5.py,0.9123,268956.759895
623,optimized,256,20,0.005,12000,bi-rnn.py,0.2432,557254.753426
624,optimized,128,5,0.01,6000,lenet5.py,0.923,146445.016804
625,optimized,128,5,0.01,6000,bi-rnn.py,0.3327,225572.135461
626,optimized,128,5,0.01,12000,lenet5.py,0.9287,146250.279183
627,optimized,128,5,0.01,12000,bi-rnn.py,0.4122,228931.611824
628,optimized,128,5,0.005,6000,lenet5.py,0.8769,147326.5145
629,optimized,128,5,0.005,6000,bi-rnn.py,0.1718,228216.622494
630,optimized,128,5,0.005,12000,lenet5.py,0.8862,147237.593124
631,optimized,128,5,0.005,12000,bi-rnn.py,0.1971,224763.24323
632,optimized,128,10,0.01,6000,lenet5.py,0.9479,262950.370341
633,optimized,128,10,0.01,6000,bi-rnn.py,0.4655,427399.991122
634,optimized,128,10,0.01,12000,lenet5.py,0.9426,264256.314864
635,optimized,128,10,0.01,12000,bi-rnn.py,0.4718,423716.180276
636,optimized,128,10,0.005,6000,lenet5.py,0.9107,264407.100986
637,optimized,128,10,0.005,6000,bi-rnn.py,0.2427,429080.706417
638,optimized,128,10,0.005,12000,lenet5.py,0.913,263900.637158
639,optimized,128,10,0.005,12000,bi-rnn.py,0.2759,429893.74619
640,optimized,128,20,0.01,6000,lenet5.py,0.9613,456946.68203
641,optimized,128,20,0.01,6000,bi-rnn.py,0.7384,817734.819193
642,optimized,128,20,0.01,12000,lenet5.py,0.9592,459892.909402
643,optimized,128,20,0.01,12000,bi-rnn.py,0.7145,814603.901973
644,optimized,128,20,0.005,6000,lenet5.py,0.94,468505.31495
645,optimized,128,20,0.005,6000,bi-rnn.py,0.4499,820007.66696
646,optimized,128,20,0.005,12000,lenet5.py,0.9343,469443.17361
647,optimized,128,20,0.005,12000,bi-rnn.py,0.4199,830076.747363
648,optimized,256,5,0.01,6000,lenet5.py,0.8845,86067.359474
649,optimized,256,5,0.01,6000,bi-rnn.py,0.208,154384.126401
650,optimized,256,5,0.01,12000,lenet5.py,0.8914,87808.780241
651,optimized,256,5,0.01,12000,bi-rnn.py,0.1824,157828.813396
652,optimized,256,5,0.005,6000,lenet5.py,0.8153,87459.366393
653,optimized,256,5,0.005,6000,bi-rnn.py,0.1823,154764.248594
654,optimized,256,5,0.005,12000,lenet5.py,0.838,86791.666019
655,optimized,256,5,0.005,12000,bi-rnn.py,0.1599,152274.168329
656,optimized,256,10,0.01,6000,lenet5.py,0.9254,148892.547579
657,optimized,256,10,0.01,6000,bi-rnn.py,0.3075,276214.79433
658,optimized,256,10,0.01,12000,lenet5.py,0.9195,154312.533891
659,optimized,256,10,0.01,12000,bi-rnn.py,0.3732,301758.810713
660,optimized,256,10,0.005,6000,lenet5.py,0.8915,158004.184991
661,optimized,256,10,0.005,6000,bi-rnn.py,0.1858,295175.609593
662,optimized,256,10,0.005,12000,lenet5.py,0.8942,155163.733737
663,optimized,256,10,0.005,12000,bi-rnn.py,0.1881,293961.255263
664,optimized,256,20,0.01,6000,lenet5.py,0.9415,265040.919075
665,optimized,256,20,0.01,6000,bi-rnn.py,0.4883,555034.959397
666,optimized,256,20,0.01,12000,lenet5.py,0.9495,275779.989783
667,optimized,256,20,0.01,12000,bi-rnn.py,0.4824,556357.481108
668,optimized,256,20,0.005,6000,lenet5.py,0.915,277007.819524
669,optimized,256,20,0.005,6000,bi-rnn.py,0.2134,553116.232705
670,optimized,256,20,0.005,12000,lenet5.py,0.9094,277921.369076
671,optimized,256,20,0.005,12000,bi-rnn.py,0.3579,551518.070616
672,optimized,128,5,0.01,6000,lenet5.py,0.9152,143538.416793
673,optimized,128,5,0.01,6000,bi-rnn.py,0.3272,224994.194268
674,optimized,128,5,0.01,12000,lenet5.py,0.9223,146602.963191
675,optimized,128,5,0.01,12000,bi-rnn.py,0.365,226965.320744
676,optimized,128,5,0.005,6000,lenet5.py,0.8815,145031.251787
677,optimized,128,5,0.005,6000,bi-rnn.py,0.1798,226908.266121
678,optimized,128,5,0.005,12000,lenet5.py,0.9032,144598.990069
679,optimized,128,5,0.005,12000,bi-rnn.py,0.2046,226563.543211
680,optimized,128,10,0.01,6000,lenet5.py,0.9438,266280.880704
681,optimized,128,10,0.01,6000,bi-rnn.py,0.4679,426583.723171
682,optimized,128,10,0.01,12000,lenet5.py,0.9386,259130.965575
683,optimized,128,10,0.01,12000,bi-rnn.py,0.4614,429755.375882
684,optimized,128,10,0.005,6000,lenet5.py,0.9119,266335.637595
685,optimized,128,10,0.005,6000,bi-rnn.py,0.2587,428548.262772
686,optimized,128,10,0.005,12000,lenet5.py,0.9072,263381.397941
687,optimized,128,10,0.005,12000,bi-rnn.py,0.2503,430597.663903
688,optimized,128,20,0.01,6000,lenet5.py,0.9573,483945.660272
689,optimized,128,20,0.01,6000,bi-rnn.py,0.6429,817932.364961
690,optimized,128,20,0.01,12000,lenet5.py,0.9583,465635.281652
691,optimized,128,20,0.01,12000,bi-rnn.py,0.6763,820043.313181
692,optimized,128,20,0.005,6000,lenet5.py,0.9397,475398.368337
693,optimized,128,20,0.005,6000,bi-rnn.py,0.4106,816331.532211
694,optimized,128,20,0.005,12000,lenet5.py,0.9253,468695.753409
695,optimized,128,20,0.005,12000,bi-rnn.py,0.3936,811731.318757
696,optimized,256,5,0.01,6000,lenet5.py,0.893,87961.500424
697,optimized,256,5,0.01,6000,bi-rnn.py,0.1905,155356.771054
698,optimized,256,5,0.01,12000,lenet5.py,0.8858,86680.891225
699,optimized,256,5,0.01,12000,bi-rnn.py,0.2149,154696.368084
700,optimized,256,5,0.005,6000,lenet5.py,0.8432,87902.268426
701,optimized,256,5,0.005,6000,bi-rnn.py,0.1448,153368.496924
702,optimized,256,5,0.005,12000,lenet5.py,0.8391,87477.307683
703,optimized,256,5,0.005,12000,bi-rnn.py,0.1532,152232.171651
704,optimized,256,10,0.01,6000,lenet5.py,0.9081,158091.233632
705,optimized,256,10,0.01,6000,bi-rnn.py,0.3327,295155.809362
706,optimized,256,10,0.01,12000,lenet5.py,0.9263,157272.682363
707,optimized,256,10,0.01,12000,bi-rnn.py,0.3229,296260.1481
708,optimized,256,10,0.005,6000,lenet5.py,0.8884,154367.463962
709,optimized,256,10,0.005,6000,bi-rnn.py,0.1929,297871.521374
710,optimized,256,10,0.005,12000,lenet5.py,0.8737,161929.002147
711,optimized,256,10,0.005,12000,bi-rnn.py,0.1871,297401.779752
712,optimized,256,20,0.01,6000,lenet5.py,0.9468,277796.879389
713,optimized,256,20,0.01,6000,bi-rnn.py,0.5157,549946.828235
714,optimized,256,20,0.01,12000,lenet5.py,0.9433,280361.386425
715,optimized,256,20,0.01,12000,bi-rnn.py,0.5007,563805.647612
716,optimized,256,20,0.005,6000,lenet5.py,0.9221,278474.195685
717,optimized,256,20,0.005,6000,bi-rnn.py,0.359,566989.320293
718,optimized,256,20,0.005,12000,lenet5.py,0.9095,278363.187812
719,optimized,256,20,0.005,12000,bi-rnn.py,0.2983,565145.338399
